car_model,count
阿特兹,75
星越,43
速腾,22
马自达CX-4,20
博越,13
凯美瑞,12
朗逸,12
探岳,11
缤越,11
迈腾,10
逍客,9
凌渡,9
奥迪A4L,7
捷达VS5,6
帝豪GL,6
帝豪,6
标致408,6
博瑞,6
速派,6
途胜,6
飞度,6
瑞虎8,5
名爵6,5
嘉际,5
途观L,5
奥迪Q3,4
雪铁龙C4L,4
领动,4
高尔夫,4
捷途X90,3
艾瑞泽GX,3
马自达3 昂克赛拉,3
T-ROC探歌,3
RAV4荣放,3
雷凌,3
帝豪GS,3
名爵ZS,3
本田CR-V,3
欧蓝德,3
亚洲龙,3
智跑,3
众泰SR9,3
雅阁,3
途昂,3
奥迪A6L,3
科雷嘉,3
领克01,3
天籁,3
宝来,2
沃尔沃S60,2
奥迪Q5,2
远景X6,2
威驰,2
标致5008,2
宝骏E200,2
宝马3系,2
宝马5系,2
蓝鸟,2
荣威RX5 MAX,2
标致308,2
本田XR-V,2
帝豪新能源,2
悦动,2
悦纳,2
星途TX,2
艾瑞泽5,2
奥迪A3,2
汉兰达,2
领克02,2
途安,2
名图,2
名爵HS,2
五菱宏光,2
长安CS75 PLUS,2
哈弗H5,2
领界,2
哈弗H6 Coupe,2
哈弗M6,2
中华V7,2
依维柯得意,2
卡罗拉,2
长城C30,2
众泰E200,2
锋范经典,2
奔腾B50,2
奔腾T77,2
奔驰C级,2
众泰T700,2
众泰T600 Coupe,2
瑞风M3,1
风行T5L,1
风神AX7,1
甲壳虫,1
风光330,1
瑞风S3,1
汉腾X7,1
瑞虎7,1
瑞风A60,1
现代ix25,1
猎豹CS10,1
马自达CX-5,1
驭胜S350,1
特顺新能源,1
海狮X30L,1
骏派A70,1
骐达TIIDA,1
江淮iEVS4,1
江淮iEV6E,1
皓影,1
维特拉,1
睿骋,1
睿骋CC,1
途观,1
途铠,1
远景,1
迈威,1
起亚K3,1
锐志,1
解放J6P,1
观致5,1
长城C50,1
荣威RX8,1
荣威Ei5,1
英菲尼迪QX50,1
长安欧尚X7,1
阳光,1
雪铁龙C5,1
雷克萨斯CT,1
雷克萨斯LS,1
绅宝X35,1
红旗HS5,1
索纳塔八,1
箱货,1
C4世嘉,1
昕锐,1
汉腾X5,1
嘉悦A5,1
劲炫ASX,1
北汽新能源EC,1
博瑞新能源,1
名爵3,1
启悦,1
哈弗H2,1
哥瑞,1
大迈X5,1
奕泽IZOA,1
奇瑞eQ,1
奔腾B30,1
奔腾X40,1
奔驰GLC,1
奔驰GLE,1
奔驰GLK,1
奔驰GLS,1
力帆650EV,1
凯翼X3,1
依维柯欧胜,1
传祺GA6,1
INSPIRE,1
Levante,1
Polo,1
U5 SUV,1
V3菱悦,1
WEY VV5,1
东南DX3,1
五菱宏光V,1
五菱荣光V,1
五菱荣光新卡,1
众泰SR7,1
众泰T500,1
众泰T600,1
优优EV,1
传祺GA3S视界,1
奔驰S级,1
奕炫,1
比亚迪F0,1
柯迪亚克GT,1
DS5,1
星越新能源,1
星途LX,1
智尚S30,1
林肯MKC,1
柯珞克,1
柯迪亚克,1
柳特,1
奥迪Q5L,1
标致2008,1
标致3008,1
标致4008,1
桑塔纳,1
森雅R7,1
森雅R9,1
欧马可,1
昌河M70,1
昊锐,1
时代金刚,1
新宝骏RM-5,1
奥迪Q7,1
威旺S50,1
宝沃BX5,1
宝沃BX7,1
宝马6系GT,1
宝马X3,1
宝马X5,1
宝骏360,1
宝骏530,1
宝骏630,1
帕萨特新能源,1
悦翔,1
捷豹XEL,1
捷豹XFL,1
撼路者,1
高尔夫（进口）,1
